,novel_obj_list,check_obj_list,mahanalobis_distance,p_value,significance
38,novel_object_3_1_6,tnt,2042.1299191713333,0.0,True
39,novel_object_3_1_6,platform,939.2927506547421,0.0,True
40,novel_object_3_1_6,ice,1015.6177531715948,0.0,True
41,novel_object_3_1_6,pig,1002.7754909358919,0.0,True
42,novel_object_3_1_6,stone,981.5626338217407,0.0,True
43,novel_object_3_1_6,wood,1005.215789871756,0.0,True
44,novel_object_4_1_6,bird_black,1301.6206395626068,0.0,True
45,novel_object_4_1_6,bird_blue,1546.85395860672,0.0,True
46,novel_object_4_1_6,bird_red,982.9643633104861,0.0,True
47,novel_object_4_1_6,bird_white,2001.6840075850487,0.0,True
48,novel_object_4_1_6,bird_yellow,977.5725929737091,0.0,True
49,novel_object_4_1_6,tnt,1043.9311535283923,0.0,True
50,novel_object_4_1_6,platform,602.6329020410776,0.0,True
51,novel_object_4_1_6,ice,1013.8793879866134,0.0,True
52,novel_object_4_1_6,pig,1032.294233970344,0.0,True
53,novel_object_4_1_6,stone,1007.6998249301687,0.0,True
54,novel_object_4_1_6,wood,959.4383514719084,0.0,True
55,novel_object_5_1_6,bird_black,1012.8386154694017,0.0,True
56,novel_object_5_1_6,bird_blue,1061.1295932084322,0.0,True
57,novel_object_5_1_6,bird_red,995.7600155458786,0.0,True
58,novel_object_5_1_6,bird_white,1635.1369620263577,0.0,True
59,novel_object_5_1_6,bird_yellow,942.1621950855479,0.0,True
60,novel_object_5_1_6,tnt,898.1712114363909,0.0,True
61,novel_object_5_1_6,platform,867.8229094520211,0.0,True
62,novel_object_5_1_6,ice,1008.4844558922341,0.0,True
63,novel_object_5_1_6,pig,990.8923012062442,0.0,True
64,novel_object_5_1_6,stone,1007.5796555689303,0.0,True
65,novel_object_5_1_6,wood,987.0520055518718,0.0,True
66,novel_object_6_1_6,bird_black,991.5224851770326,0.0,True
67,novel_object_6_1_6,bird_blue,1051.7956183329225,0.0,True
68,novel_object_6_1_6,bird_red,954.9642681069672,0.0,True
69,novel_object_6_1_6,bird_white,938.0431393571198,0.0,True
70,novel_object_6_1_6,bird_yellow,984.7779964394867,0.0,True
71,novel_object_6_1_6,tnt,1813.1337034404278,0.0,True
72,novel_object_6_1_6,platform,986.3215955346823,0.0,True
73,novel_object_6_1_6,ice,1033.7582543464378,0.0,True
74,novel_object_6_1_6,pig,989.425648143515,0.0,True
75,novel_object_6_1_6,stone,1573.9316354095936,0.0,True
76,novel_object_6_1_6,wood,1011.6814058031887,0.0,True
77,novel_object_7_1_6,bird_black,995.7687818780541,0.0,True
78,novel_object_7_1_6,bird_blue,845.1936123967171,0.0,True
79,novel_object_7_1_6,bird_red,967.4964173436165,0.0,True
80,novel_object_7_1_6,bird_white,917.0494820177555,0.0,True
81,novel_object_7_1_6,bird_yellow,1056.610646083951,0.0,True
82,novel_object_7_1_6,tnt,2387.2259516716003,0.0,True
83,novel_object_7_1_6,platform,907.8777175545692,0.0,True
84,novel_object_7_1_6,ice,1014.4909820379689,0.0,True
85,novel_object_7_1_6,pig,971.6272531971335,0.0,True
86,novel_object_7_1_6,stone,1005.3737446339801,0.0,True
87,novel_object_7_1_6,wood,996.4705152884126,0.0,True
88,novel_object_8_1_6,bird_black,998.6151459570974,0.0,True
89,novel_object_8_1_6,bird_blue,1021.2486589439213,0.0,True
90,novel_object_8_1_6,bird_red,1047.719317940995,0.0,True
91,novel_object_8_1_6,bird_white,889.0171816539951,0.0,True
92,novel_object_8_1_6,bird_yellow,1007.7179925874516,0.0,True
93,novel_object_8_1_6,tnt,1068.237805238925,0.0,True
94,novel_object_8_1_6,platform,831.6548234336078,0.0,True
95,novel_object_8_1_6,ice,1014.3594774785452,0.0,True
96,novel_object_8_1_6,pig,991.1460445346311,0.0,True
97,novel_object_8_1_6,stone,953.3023219881579,0.0,True
98,novel_object_8_1_6,wood,1027.4346048380248,0.0,True
99,novel_object_9_1_6,bird_black,988.2722834954038,0.0,True
100,novel_object_9_1_6,bird_blue,969.0182655341923,0.0,True
101,novel_object_9_1_6,bird_red,1013.5102857090533,0.0,True
102,novel_object_9_1_6,bird_white,1099.6351486369967,0.0,True
103,novel_object_9_1_6,bird_yellow,995.7513979114592,0.0,True
104,novel_object_9_1_6,tnt,1017.3332427740097,0.0,True
105,novel_object_9_1_6,platform,1159.4325539115816,0.0,True
106,novel_object_9_1_6,ice,1018.3698639352806,0.0,True
107,novel_object_9_1_6,pig,961.1290786573663,0.0,True
108,novel_object_9_1_6,stone,979.9710203753784,0.0,True
109,novel_object_9_1_6,wood,1009.8497430235147,0.0,True
110,novel_object_10_1_6,bird_black,971.5099642537534,0.0,True
111,novel_object_10_1_6,bird_blue,1058.030055359006,0.0,True
112,novel_object_10_1_6,bird_red,892.378009930253,0.0,True
113,novel_object_10_1_6,bird_white,881.4676436781883,0.0,True
114,novel_object_10_1_6,bird_yellow,1146.04855902493,0.0,True
115,novel_object_10_1_6,tnt,1680.2752116918564,0.0,True
116,novel_object_10_1_6,platform,1093.9634050875902,0.0,True
117,novel_object_10_1_6,ice,1018.3804276706651,0.0,True
118,novel_object_10_1_6,pig,1012.4314702562988,0.0,True
119,novel_object_10_1_6,stone,988.4657330922782,0.0,True
120,novel_object_10_1_6,wood,1000.8145649805665,0.0,True
121,novel_object_11_1_6,bird_black,1020.0453309863806,0.0,True
122,novel_object_11_1_6,bird_blue,714.2883679270744,0.0,True
123,novel_object_11_1_6,bird_red,988.5438508018851,0.0,True
124,novel_object_11_1_6,bird_white,931.3235860317945,0.0,True
125,novel_object_11_1_6,bird_yellow,1028.9179702065885,0.0,True
126,novel_object_11_1_6,tnt,987.8559311330318,0.0,True
127,novel_object_11_1_6,platform,1020.6530529633164,0.0,True
128,novel_object_11_1_6,ice,1019.7898373994976,0.0,True
129,novel_object_11_1_6,pig,979.812934037298,0.0,True
130,novel_object_11_1_6,stone,1048.8521766327322,0.0,True
131,novel_object_11_1_6,wood,999.568587411195,0.0,True
132,novel_object_0_1_7,bird_black,986.0937677617185,0.0,True
133,novel_object_0_1_7,bird_blue,1092.2024760134518,0.0,True
134,novel_object_0_1_7,bird_red,1037.225831542164,0.0,True
135,novel_object_0_1_7,bird_white,745.8819683790207,0.0,True
136,novel_object_0_1_7,bird_yellow,845.3335254564881,0.0,True
137,novel_object_0_1_7,tnt,78.80512598156929,1.0,False
138,novel_object_0_1_7,platform,89.9295465350151,1.0,False
139,novel_object_0_1_7,ice,1015.8055098559707,0.0,True
140,novel_object_0_1_7,pig,995.9980390779674,0.0,True
141,novel_object_0_1_7,stone,985.1586667466909,0.0,True
142,novel_object_0_1_7,wood,978.3552907966077,0.0,True
143,novel_object_1_1_7,bird_black,983.0314022200182,0.0,True
144,novel_object_1_1_7,bird_blue,2235.212188720703,0.0,True
145,novel_object_1_1_7,bird_red,904.44731092453,0.0,True
146,novel_object_1_1_7,bird_white,395.41968631744385,4.883584847625855e-08,True
147,novel_object_1_1_7,bird_yellow,913.200476333499,0.0,True
148,novel_object_1_1_7,tnt,721.8791433572769,0.0,True
149,novel_object_1_1_7,platform,592.5908216834068,0.0,True
